Topic,Count,theme1,theme2,Name,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,
62,229,Health,Fear of Childbirth,62_Painless injection_Scar_Non-injection_Injection,"['painless injection', 'scar', 'injection', 'if it hits', 'mark', 'injection mark', 'scar', 'that', 'painless injection too']","['I don't have a scar', 'When I'm with the kids, I'm the only one without a scar', 'I just have a big scar']",,,,,,,,,,,,,,,,,,,,,
63,371,Chidrearing cost,Chid Safety,63_To the baby_To the baby_I feel bad for the baby,"['to the baby', 'to the baby', 'the baby', 'poor', 'poor', 'baby', 'the baby', 'the baby', 'the baby', 'the baby', 'why']","['I feel bad for her', 'I feel so bad for her', 'I wonder what on earth she was thinking when she did something like that. I really can't understand it, but I want to ask her if she did it from her heart. If Ayoung had grown up normally, she would have been very playful and loved. But that person only lived for 6 years and will live her life again after killing a life.']",,,,,,,,,,,,,,,,,,,,,
64,224,Utility,Emotional Support,64_haha_cute_hahaha_cute,"['haha', 'cute', 'hahahaha', 'cute', 'cutehh', 'cute', 'hahaha', 'cute', 'cutehh', 'cute', 'cutehh', 'cutehh']","['Haha so cute', 'Haha so cute', 'So cute haha']",,,,,,,,,,,,,,,,,,,,,
65,245,Utility,Emotional Support,65_You_are_so_good_at_talking_about ...,"['speech', 'speech', 'how', 'speaking well', 'language', 'cute', 'you're cute', 'you're good at it', 'will you do well', 'face']","['How can she speak so well, she's cute', 'How can she speak so well, she's cute', 'How can she speak so well, she's cute']",,,,,,,,,,,,,,,,,,,,,
66,384,Population Structure,State Intervention,66_Policy_Politicians_Policy_Politicians,"['policy', 'politicians', 'policy', 'politicians', 'government', 'government', 'people', 'government', 'good', 'country']","['While Hungary is like that, my country created something called Danzo and doesn't even tell the young people to do it, but only calls the elderly to tell them and wastes the budget', 'The sentences are too light compared to the crime, and the majority of the people are always angry, but they don't budge, so I hope they stop cursing the politicians in the Ministry of Justice and pretending to be clean and noble', 'The sentences are too light compared to the crime, and the majority of the people are always angry, but they don't budge, so I hope they stop cursing the politicians in the Ministry of Justice and pretending to be clean and noble']",,,,,,,,,,,,,,,,,,,,,
67,320,Utility,Reproduction,67_Son_Three sons_One son_Three daughters,"['son', 'three sons', 'one son', 'three daughters', 'only daughters', 'only sons', 'with sons', 'one daughter', 'a son', 'if it's a daughter']","['I'm a son too', 'I'm a son too', 'Son and daughter']",,,,,,,,,,,,,,,,,,,,,
68,296,Utility,Reproduction,68_My daughter_I thought my son was my daughter_She's my daughter,"['daughter', 'son', 'I thought it was a daughter', 'I'm a daughter', 'To mom', 'Daughter is the best', 'shame', 'father', 'I'm a son', 'with son']","['I thought she was a daughter', 'I thought she was a daughter', 'I thought she was a daughter']",,,,,,,,,,,,,,,,,,,,,
69,245,Utility,Reproduction,69_How_did_Grandma_give_birth_to_4_children,"['How', 'Grandmother', 'gave birth to', '4 people', 'Grandmother', '4 people', '3 people', '3 people', 'gave birth to', '5 people']","['How did mom give birth to twins?', 'How did grandma give birth to 6?', 'How did grandma give birth to 3?']",,,,,,,,,,,,,,,,,,,,,
70,305,Utility,Emotional Support,70_cute_cute_cute_cute_cute,"['cute', 'cutedang', 'cute', 'cutely', 'cutely', 'cutely', 'cute', 'cutedang', 'cutely', 'cutely', 'cutely', 'cutely', 'cutely']","['cute', 'cute', 'cute']",,,,,,,,,,,,,,,,,,,,,
71,209,,,71_So funny_On Instagram_ㅋㅅㅋㅅㅋㅋ,"['Funny', 'ㄴㅇㅅ', 'On Instagram', 'ㅋㅅㅋㅅㅋㅋ', 'ㅋㅅㅋㅅㅋㅅㄱㅅㄱㅅㄱㅎㅋㅅㅋㅅㅋㅎ', 'Everyday', 'ㅋㅋㄱㅋㄱㄱㅋㅋㅋㅋㅋㅋ', 'ㅋㅋㄱㅋㄱㄱㄱㅋYou're so cheerful', 'ㅋㅋㄱㅋㅋㅋㄱㅋㄱㅋㅋㅋ', 'ㅋㅋㄲㅋㄱㅋㄱㅋ']","['This is so funnyㅋㅋㅋ and it's even funnier because it's a challengeㅋㅋㅋㅅㅋㅅㄲㅅㅋㅅㅋ', 'I laugh at my stomach ㅋㅋ I watch it every day', 'I laugh at my stomach ㅋㅋ I watch it every day']",,,,,,,,,,,,,,,,,,,,,
72,412,,,72_crazy_I'm going crazy_crazy_crazy,"['crazy', 'going crazy', 'crazy', 'crazy', 'chch', 'crazy', 'crazy thing', 'much', 'crazy things', 'mental']","['I'm going crazy', 'I'm going crazy', 'I'm going crazy']",,,,,,,,,,,,,,,,,,,,,
73,375,Utility,Emotional Support,73_Ipo_Oka_Ipoipo_Olsoo,"['Ippo', 'Okka', 'Ippoippo', 'Olsso', 'Ago', 'Gwiyomi', 'Oguogu', 'Eoa', 'Majayo', 'Chukkachuka']","['Guitarist, click this when you have time', 'Ah ah ah and baba ah ah ar understand, made it', 'Ah ah ah and baba ah ah ar understand, made it']",,,,,,,,,,,,,,,,,,,,,
74,341,Population Structure,State Intervention,74_Ugh_Oh my gosh_What is this,"['Ugh', 'Oh my', 'This', 'What is it', 'Really', 'What the heck', 'Really', 'That's funny', 'That's scary', 'That's ridiculous']","['What is this?', 'What on earth do you have to think to think like that? Tell all the people involved to pay their taxes and shut down.', 'What on earth do you have to think to think like that? Tell all the people involved to pay their taxes and shut down.']",,,,,,,,,,,,,,,,,,,,,
75,219,Population Structure,Early Marriage and Chidbearing,75_Friend_I thought you were a friend_You're not a friend_You're a friend,"['friend', 'I thought they were friends', 'not friends', 'we're friends', 'two of them', 'like friends', 'are friends', 'friends', 'as friends', 'like friends']","['I thought you were a friend', 'I thought you were a friend', 'I thought you were a friend']",,,,,,,,,,,,,,,,,,,,,
76,221,Utility,Emotional Support,"76_Cheer up_Cheer upㅠㅠ_I'm a 2nd year in high school and 19 years old, cheer upㅎㅎ_Dad","['Cheer up', 'Cheer upㅠㅠ', 'A high school sophomore and a 19-year-old, cheer upㅎㅎ', 'Uncle', 'Hao', 'Risking my life', 'Father', 'Cheer up', 'I love you', 'Cheer upㅜㅜ']","['Cheer up', 'Cheer up', 'Cheer up']",,,,,,,,,,,,,,,,,,,,,
77,288,Population Structure,Low Fertility,77_Population_Population_Korea_has_population,"['population', 'population', 'Korea', 'population', 'Koreans', 'population', 'young people', 'population', 'should decrease', 'pure']","['After reading the comments, it seems like our country's working society and companies are rotten. We need to abolish employment based on academic background, eliminate discrimination against labor, pay people sufficiently according to their function or ability, and give preferential treatment to technical and field workers. If we just stabilize housing prices, won't we be able to get to 15? Are we too far gone to have a hard time?', 'After reading the comments, it seems like our country's working society and companies are rotten. We need to abolish employment based on academic background, eliminate discrimination against labor, pay people sufficiently according to their function or ability, and give preferential treatment to technical and field workers. If we just stabilize housing prices, won't we be able to get to 15? Are we too far gone to have a hard time?', 'In fact, the problem is not the population decreasing, but the rapid increase in the elderly population compared to the youth population. If the population decreases gradually, then the population decrease can be considered a good thing, but if the downward trend continues, young people will die paying taxes in 20 years.']",,,,,,,,,,,,,,,,,,,,,
78,284,,,78_fun_fun_fun_fun_it will be fun,"['fun', 'that's fun', 'fun', 'that would be fun', 'it's fun', 'it's fun', 'it's fun', 'it's fun', 'fun', 'fun']","['This is so fun', 'Haha this is fun', 'This is so fun']",,,,,,,,,,,,,,,,,,,,,
79,183,,,79_ㅋㅋㅋㅋ_Cute_Coup_Doctor,"['ㅋㅋㅋㅋ', 'cute', 'coup d'etat', 'doctor', 'voice', 'third', '', '', '', '']","['ㅋㅋㅋㅋ', 'ㅋㅋㅋㅋ', 'ㅋㅋㅋㅋ']",,,,,,,,,,,,,,,,,,,,,
80,250,Utility,Emotional Support,80_Eyes_In_Eyelashes_Sweat,"['eyes', 'in the eyes', 'eyelashes', 'sweat', 'eyelashes', 'pretty', 'big', 'laser', 'born in 18', 'beautiful']","['There is an eye to see', 'the eye', 'There is an eye to see']",,,,,,,,,,,,,,,,,,,,,
81,267,Values,Conflict,81_Game_Insta_addicted_to_games,"['game', 'in the game', 'into', 'Insta', 'game is', 'game is', 'on Insta', 'internet', 'hold'em', 'on Insta']","['It's not the games that are the problem, it's the men who are addicted to the games', 'Men addicted to games X Women addicted to Instagram O', 'Men addicted to games X Women addicted to Instagram O']",,,,,,,,,,,,,,,,,,,,,
82,209,Utility,Emotional Support,82_Doll_I thought it was a doll_It's a pad-lip doll,"['doll', 'like a doll', 'padrip', 'is a doll', 'is a doll', 'is a doll', 'interpretation', 'looks like a doll', 'like a doll', 'at first', 'at the beginning']","['not a doll', 'it's a doll', 'doll']",,,,,,,,,,,,,,,,,,,,,
83,213,,,83_TikTok_TikTok_Chinese_Version_of_TikTok,"['TikTok', 'TikTok-ee', 'TikTok-e', 'Chinese version', 'TikTok-eun', 'Chinese-de', 'Se-se-gu-ride', 'On TikTok', 'Se-gu-ride', 'TikTok-eul']","['TikTok is Chinese, but what is the Chinese version of TikTok?', 'TikTok is Chinese, but TikTok is Chinese', 'TikTok is Chinese, but TikTok is Chinese']",,,,,,,,,,,,,,,,,,,,,
84,309,Population Structure,State Intervention,84_It didn't come out_Don't_look_at_it_handle,"['not coming out', 'see', 'dealing with', 'masem', 'don't want to see', 'Hyunsong-nim', 'only once', 'issue', 'if it didn't come out', 'hate']","['Isn't it shameful that the country is making this into a news issue when it's a completely understandable situation? They're using this as news to turn the country around', 'I don't care whether it's true or false, so I hope it doesn't come out', 'I don't care whether it's true or false, so I hope it doesn't come out']",,,,,,,,,,,,,,,,,,,,,
85,467,Health,Fear of Childbirth,85_Mom_Mom_Mom_Mom_Mom too,"['Mom', 'Mom is', 'Mom', 'Mom too', 'To Mom', 'Hardly', 'With Mom', 'Dad', 'All the time', 'Like that']","['Honestly, every time I watch the video, I'm afraid of having a child, and I don't skip it because I want to know, but Howl's Mom is really amazing', 'If something like that really happened, I don't think it would have come out like that. It's really sad, but why does it feel like they're even exploiting that sadness?', 'If something like that really happened, I don't think it would have come out like that. It's really sad, but why does it feel like they're even exploiting that sadness?']",,,,,,,,,,,,,,,,,,,,,
86,270,Population Structure,State Intervention,86_Emergency Room_Hospital_Even if the hospital hurts,"['emergency room', 'hospital', 'hospital', 'even if sick', 'at the hospital', 'patient', 'emergency room', 'nurses', 'if sick', 'mild']","['It's strange that a patient with a mild cold or enteritis goes to the emergency room. The emergency room is for patients with more urgent needs than a cold or enteritis, but I think it's right to call an ambulance', 'The emergency room itself is funny', 'Now, there will be many people who endure and avoid going to the emergency room even in real emergencies because they are concerned about money. If they come up with a policy like this, what will happen if they endure it because their appendix bursts and they have a stomachache because they think it could be enteritis and they end up getting worse? What will happen if a low-income person doesn't go to the emergency room because they are afraid of the cost of the emergency room even in an emergency and dies?']",,,,,,,,,,,,,,,,,,,,,
87,255,Values,Family Diversity,87_Nationality_Korean_Chinese_Nationality,"['nationality', 'Korea', 'China', 'nationality', 'Vietnam', 'foreigners', 'foreigner', 'identification card', 'to China', 'running away']","['The purpose is to obtain Korean citizenship', 'This is the problem. 8 out of 10 people I know obtained Korean citizenship and then got divorced. They are Vietnamese. You have to live in Vietnam for 20 years to obtain Korean citizenship. There are so many sham marriages', 'It is said that many Yanbian women try to obtain citizenship after getting married in China and having one or two children in Korea. After having the children and obtaining citizenship, they leave. They bring a Chinese boyfriend from Yanbian, China. Other times, they become really friendly with people in the countryside, borrow money here and there, and then run away. Be careful of these amazing Yanbian Chinese women']",,,,,,,,,,,,,,,,,,,,,
88,286,Utility,Emotional Support,88_Crying_Crying_Crying_Crying,"['crying', 'crying', 'crying', 'while crying', 'because it's cute', 'after crying', 'about to cry', 'squeaking', 'crying', 'it's okay']","['It's cute when the baby cries, but it's so cute when my uncle sticks his face out at the end', 'When my baby was born, people teased him by saying he looked like a monkey, but as he grew up, people told me he was so handsome, so my husband likes to carry him', 'When my baby was born, people teased him by saying he looked like a monkey, but as he grew up, people told me he was so handsome, so my husband likes to carry him']",,,,,,,,,,,,,,,,,,,,,
89,254,,,89_ㄹㅈㄷ_ㅇㅈ_ㄱㅇㅇ_ㅇㄱㄹㅇ,"['ㄹㅈㄷ', 'ㅇㅈ', 'ㄱㅇㅇ', 'ㅇㄱㄹㅇ', 'ㄷㄷ', 'ㅇㄴ', 'ㄱㄱ', 'ㅂㅍ아님', '저도ㄷ', '육생각']","['You can't use 'ㅋㄷ' in Korea', 'Imagine doing that to someone close to me ㅈㅁㅎ ㄱㅅㄲㅇ', 'Imagine doing that to someone close to me ㅈㅁㅎ ㄱㅅㄲㅇ']",,,,,,,,,,,,,,,,,,,,,
90,319,,,90_Subtitle_Name_Subtitle_Name,"['subtitle', 'name', 'subtitle', 'name', 'Laon inde', 'open', 'name and', '06 people', 'close', 'my name']","['Please add English subtitles', 'The subtitles are really funny lol', 'The subtitles are really funny lol']",,,,,,,,,,,,,,,,,,,,,
91,459,Utility,Reproduction,"91_In my previous life, I was the first to pay attention to the country","['In the past life', 'Country', '1st class', 'Attention', '2nd class', 'Which episode is it?', '3rd class', 'Ride', 'Segu', 'Which episode']","['People who saved the country in their past life, lol', 'My mom saved the country in her past life', 'My younger sibling saved the country in his past life']",,,,,,,,,,,,,,,,,,,,,
92,319,,,92_It's good_It's good_It looks good,"['Good', 'Good', 'Good', 'Good to see', 'Cool', 'Good to see', 'Cool', 'Good', 'Cool', 'Good to see']","['Good', 'Good', 'Good']",,,,,,,,,,,,,,,,,,,,,
93,205,Population Structure,State Intervention,93_Yoon Seok-yeol_Seok-yeol-ah_Seok-yeol_Seok-yeol,"['Yoon Seok-yeol', 'Seok-yeol-ah', 'Seok-yeol-ee', 'Seok-yeol', 'Yoon Seok-yeol-ee', 'President Yoon Seok-yeol', 'Yoon Seok-yeol-ee', 'Learn', 'Disband', 'People's']","['Learn from Seok-yeol-ah', 'Seok-yeol-ah', 'The end of President Yoon Seok-yeol']",,,,,,,,,,,,,,,,,,,,,
94,327,Values,Gender Equality,94_Women_Men_Men_Women,"['woman', 'man', 'man', 'women', 'woman', 'woman too', 'man', 'real man', 'laughing', 'not understood']","['Is it Jeju? The character is like a man with 3 ㄷㄷㄷ', 'The female cast members are getting cursed at, why is the news so slow', 'The female cast members are getting cursed at, why is the news so slow']",,,,,,,,,,,,,,,,,,,,,
95,377,Utility,Emotional Support,95_Father_Mother_Dad_Father,"['Father', 'Mother', 'Abuji', 'Father', 'Mother', 'Son', 'Mother is', 'Mothers', 'Mother', 'Respect']","['Fighting Dad', 'Dad, dad, you're cute', 'Cheer up, dad']",,,,,,,,,,,,,,,,,,,,,
96,180,,,"96_개굡다_ㅘㅜ_Support the parents and children who have already been born. They are not pigs and dogs. Stop telling them to have children. Doctors are already avoiding pediatrics and other fields because they don't make money and it is hard. It is hard to receive treatment for the elderly, so I will live. It is right to teach children not to get married or have children. Doctors will threaten with their lives anyway, and the medical expenses will continue to rise and you can't afford it. Earn money from foreign workers and use it. It's not a bad thing.","['개굡다', 'ㅘㅜ', 'Support the parents and children who have already been born. They're not pigs. Stop telling them to have children. Doctors are already avoiding pediatrics and other fields because they don't make money and it's hard. It's hard to receive treatment for the elderly, so I'm going to live. It's right to teach children not to get married or have children. Doctors will threaten you with their lives anyway, and the medical expenses will continue to rise. You can't afford it. Use foreign income', '애안낞아요', '2번있는ᆢ', '앸ㅋㅌㅋㅌㅌㅋㅋ', '개굡다아아앜', '알젲어요', '아유ᆢ이쁜라ᆢCongratulations on giving birth to a cute baby. Raise it healthy and pretty', 'Hell he ...","['doggyeotda', 'doggyeotda', 'doggyeotda']",,,,,,,,,,,,,,,,,,,,,
97,226,Chidrearing cost,Expense,97_House price_House price or_House price_Price,"['house price', 'house price', 'house price', 'price', 'rising', 'price', 'house', 'that's it', 'go up', 'house']","['No matter who is in the presidency, they all curse, divide, and call for impeachment. They are working hard on spies, but why aren't they arrested? I hate the National Assembly members who waste taxes and take advantage of their own interests more than the president', 'Isn't it urgent to adjust prices rather than hoping the country will support us? What's the point of raising the minimum wage? Prices will only get more expensive. Once they raise it, they don't know how to lower it. They never want to accept the same price. That's the biggest problem. If prices were stable, it wouldn't be this hard', 'Isn't it urgent to adjust prices rather than hoping the country will support us? What's the point of raising the minimum wage? Prices will only get more expensive. Once they raise it, they don't know how to lower it. They never want to accept the same price. That's the biggest problem. If prices were stable, it wouldn't be this hard']",,,,,,,,,,,,,,,,,,,,,
98,219,Health,Fear of Childbirth,98_It hurts_It hurts_Even if I put it in_My back,"['It hurts', 'It hurts', 'Even if I put it in', 'My back', 'It hurts', 'It hurts', 'Injury', 'Fracture', 'Does it hurt', 'My leg']","['It's going to hurt', 'It's going to hurt', 'It's going to hurt']",,,,,,,,,,,,,,,,,,,,,
99,284,,,99_ㅋㅋㅋ_ㅎㅎㅎ_ㅎㅎㅎㅎㅎ_ㅎㅎㅎㅎㅎㅎ,"['ㅋㅋㅋ', 'ㅎㅎㅎ', 'ㅎㅎㅎㅎㅎ', 'ㅎㅎㅎㅎㅎㅎ', 'ㅋㅋ', 'Hunter-hwang-ida', 'Gaera-sseup', 'Me too', 'Humiliation', 'Hahaha']","['ㅋㅋㅋ', 'ㅋㅋㅋ', 'ㅋㅋㅋ']",,,,,,,,,,,,,,,,,,,,,
100,260,Chidrearing cost,Chid Safety,100_The world is coming to an end_The world is coming to an end,"['the world', 'the end of the world', 'the world', 'the end of the world', 'going crazy', 'it's so sad', 'upside down', 'it's a catastrophe', 'going crazy', 'going crazy']","['The world is going crazy', 'The world is going crazy', 'The world']",,,,,,,,,,,,,,,,,,,,,
101,210,Utility,Emotional Support,101_You_can_get_it_from_the_cured_link_Cheer_up,"['complete recovery', 'from the link', 'possible', 'cheer up', 'check', 'profile', 'soon', 'fast', 'complete recovery', 'quickly']","['Cheer up, Dad. You will definitely recover. I'm rooting for you.', 'Cheer up, you will recover quickly.', 'I'm rooting for a quick recovery. Cheer up.']",,,,,,,,,,,,,,,,,,,,,
102,304,Chidrearing cost,Chid Safety,102_Where are you_Who is calling_That,"['Where are you going', 'Who are you', 'Did you call', 'That', 'I'm curious', 'I've been there', 'Why of all people', 'Why', 'Say', 'That']","['Who is it?', 'You have no right to say who in South Korea is', 'You have no right to say who in South Korea is']",,,,,,,,,,,,,,,,,,,,,
103,330,Utility,Reproduction,103_2 children_children_1 child_3 children,"['2 children', 'child', '1 child', '3 children', 'children', '2 children', 'application', 'text', '2 children', 'Are you applying']","['Please tell me the number of your two children', 'I didn't receive a text message about my children', 'I have two children. Please tell me how to apply']",,,,,,,,,,,,,,,,,,,,,
104,225,Values,Gender Equality,104_Man_Man_Woman_Woman,"['man', 'as a man', 'woman', 'girl', 'woman', 'man', 'woman', 'woman', 'man', 'fortunately']","['Woman Man', 'Lucky to be born a man', 'Lucky to be born a man']",,,,,,,,,,,,,,,,,,,,,
105,241,,,105_Song_Song_An Hyun-song_Prenatal Education,"['Song', 'Songro', 'Ahn Hyun-song', 'Taegyo', 'Two-Ba-Two', 'Minions', 'Boom-Boom-Boom-Boom', 'Siren', 'Ive', 'Taegyoro']","['I should do prenatal education with a song', 'song title', 'song name']",,,,,,,,,,,,,,,,,,,,,
106,213,Utility,Emotional Support,106_You and Nina_Do well_Do well,"['You or me', 'Nina', 'Do well', 'Do well', 'Nina do well', 'I am or me', 'Do well', 'It's a good time', 'Nim or me', 'The president is']","['Take care of yourself', 'Take care of yourself', 'Take care of yourself']",,,,,,,,,,,,,,,,,,,,,
107,265,Utility,Emotional Support,107_The baby speaks well_how is it,"['speech', 'baby', 'good job', 'what is it', 'laughter', 'words', 'baby', 'baby', 'baby', 'good job']","['Oh my, the baby speaks so well. He's so cute.', 'The baby speaks so well.', 'The baby speaks so well.']",,,,,,,,,,,,,,,,,,,,,
108,188,,,108_ㅋㅋㅋㅋㅋㅋ_ㅋㅋㅋㅋㅋㅋㅋ_ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ_ㅜㅜ,"['ㅋㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', 'ㅜㅜ', 'ㅋㅋㅋㅋㅋㅋㅋrecommendationㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋㅌ', 'ㅋㅋㅋㅋㅋㅋㅋㄱㅋ', 'ㅋㅋㅋㅋㅋㅋzㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', 'ㅎㅎㅎ홓']",['lol'],,,,,,,,,,,,,,,,,,,,,
109,160,Utility,Emotional Support,109_Congratulations_You_are_a_cute_amazing_son,"['Congratulations', 'Cute', 'Amazing', 'You're my son', 'Give me a kiss', 'School', 'At the doorstep', 'Every time I go', 'Too', 'In the morning']","['Congratulations', 'Congratulations very much', 'Congratulations very much']",,,,,,,,,,,,,,,,,,,,,
110,254,Utility,Emotional Support,110_The baby_the baby_the newborn is pretty,"['baby', 'baby', 'newborn', 'pretty', 'amazing', 'congratulations', 'lovely', 'babies', 'contributing', 'contributing']","['The baby is so cute', 'The baby is so cute', 'The baby is so cute']",,,,,,,,,,,,,,,,,,,,,
111,329,Utility,Emotional Support,111_Mom_I love you_I love you_Mom I love you,"['Mom', 'I love you', 'I love you', 'I love you, Mom', 'Mom', 'Uncle', 'Oh my', 'There you are', 'I love you, Mom', 'Thank you']","['Mom', 'Mom', 'Mom']",,,,,,,,,,,,,,,,,,,,,
112,265,Health,Fear of Childbirth,112_Tunsal_Susurus_Lips_Bwak,"['tonsal', 'susurus', 'lips', 'bwak-i', 'filter', 'oil', 'tonsal cream', 'bwak-eul', 'buy it', 'management']","['Hello, I recommend 3 types of Susurus stretch marks', 'There's no way to avoid stretch marks. I don't think applying stretch mark cream will have any effect, but you're really amazing', 'This is the Susurus stretch mark package for preventing stretch marks']",,,,,,,,,,,,,,,,,,,,,
113,226,,,113_Where_can_I_see_this_original,"['this', 'where', 'see', 'original', 'this', 'it's real', 'it's real', 'I know', 'it's so funny', 'is it Park Eun-geon']","['Found the original', 'This is the original', 'This is the original']",,,,,,,,,,,,,,,,,,,,,
114,185,Utility,Emotional Support,114_cute_cuteㅠㅠ_cute_cuteㅠㅠㅠ,"['cute', 'cuteㅠㅠ', 'cute', 'cuteㅠㅠㅠ', 'cutedang', 'cute', 'cuteㅋ', 'cuteㅋㅋㅋㅋ', 'so', 'cuteㅋㅋ']","['So cute, really cute', 'So cute, really cute', 'So cute, really cute']",,,,,,,,,,,,,,,,,,,,,
115,174,Health,Miscarriage,115_Mother-in-law_The_law_The_law_The_law,"['Mother-in-law', 'law enforcement', 'law enforcement', 'law', 'get rid of it', 'criminal', 'paternity test', 'castration', 'law enforcement', 'urgent']","['Mother-in-law', 'Mother-in-law', 'Mother-in-law']",,,,,,,,,,,,,,,,,,,,,
116,296,Values,Family Diversity,116_Splitting_No_Please_Don't_Do_It,"['Go away', 'No', 'Please', 'Don't do it', 'Arthur', 'No', 'Come in', 'Nothing', 'Can't do it', 'No']","['I don't like it because I can't do it', 'There's a difference between saving something because you don't have it and saving something because you have it, so I hope I don't live in a miserable state', 'There's a difference between saving something because you don't have it and saving something because you have it, so I hope I don't live in a miserable state']",,,,,,,,,,,,,,,,,,,,,
117,252,Health,Fear of Childbirth,117_Caesarean section_If you have surgery_with surgery,"['vasectomy', 'cesarean section', 'if you have surgery', 'by surgery', 'nurse', 'surgery', 'doctor', 'does surgery', 'obstetrics and gynecology', 'having a vasectomy']","['First, I had an emergency caesarean and pain relief. The nurse made a mistake and cut the line the day after the surgery so I didn't get all the shots and it didn't hurt much. Second, I had all the pain relief and pain relief but they took out the pain relief line while changing it and I almost passed out. Painless victory', 'Anseong City should make an OB/GYN where I can give birth ㅠㅠㅠㅠ About 3 years ago, Anseong didn't have a hospital for delivery, so pregnant women go to Pyeongtaek, Cheonan, and other regions to give birth ㅠ It's my second child, and it's hard to travel back and forth to Pyeongtaek ㅠㅠㅠ It's not like I'm in the middle of nowhere, so I asked if there's a hospital where I can give birth ㅠㅠ If that's the case, why do new OB/GYN clinics keep popping up ㅠㅠ', 'Anseong City should make an OB/GYN where I can give birth ㅠㅠㅠㅠ About 3 years ago, Anseong didn't have a hospital for delivery, so pregnant women go to Pyeongtaek, Cheonan, and other regions to give birth ㅠ It's my second child, and it's hard to travel back and forth to Pyeongtaek ㅠㅠㅠ It's not like I'm in the middle of nowhere, so I asked if there's a hospital where I can give birth ㅠㅠ If that's the case, why do new OB/GYN clinics keep popping up ㅠㅠ']",,,,,,,,,,,,,,,,,,,,,
118,168,Utility,Reproduction,118_Have a safe delivery_Have a safe delivery_Have a safe delivery_That's amazing,"['Have a safe delivery', 'I hope you have a safe delivery', 'Have a safe delivery', 'That's amazing', 'That's ridiculous', 'That's ridiculous', 'Appearance fee', 'Safe delivery', 'Fighting!', 'This is']","['Have a safe and healthy birth', 'Have a healthy and safe birth', 'Have a safe and healthy birth']",,,,,,,,,,,,,,,,,,,,,
119,180,,,119_Minjae_Minjae_Fighting_Minjae is,"['Minjae-ya', 'Minjae', 'Fighting', 'Minjae is', 'Minjaedo', 'Good job', 'Always', 'I'll cheer you on', 'From now on', 'Better than you']","['Fighting Minjae', 'Fighting Minjae', 'Fighting Minjae']",,,,,,,,,,,,,,,,,,,,,
120,185,,,120_ㅋㅎㅋㅎㅋㅎ_ㅎㅎㅎㅎㅎㅎㅎ_ㅋㅎㅋㅎㅋ_ㅋㅎㅋㅎ,"['ㅋㅎㅋㅎㅋㅎ', 'ㅎㅎㅎㅎㅎㅎㅎ', 'ㅋㅎㅋㅎㅋ', 'ㅋㅎㅋㅎㅋ', 'ㅋㅎㅋㅎㅋ', 'ㅋㅎㅋㅎㅋㅎㅋ', 'ㅋㅎㅋㅎㅋㅎㅋㅎㅋ', 'ㅊㅋ', 'ㅌㅋㅋㅋ', 'So funny']","['ㅋㅎㅋㅎㅋㅎ so funny', 'ㅋㅎㅋㅎㅋㅎ', 'ㅋㅎㅋㅎㅋㅎ']",,,,,,,,,,,,,,,,,,,,,
121,245,Chidrearing cost,Chid Safety,121_Which episode is it_It's March 19th_It's only been 2 months and a half,"['What month is it?', 'It's March 19th', '2 months', 'Halfway', 'Birthday', 'In 36 weeks', 'It's giving birth', 'March 19th', 'My birthday', 'How many months is it?']","['Judge Ji-il, if it's not Ji-il, then it's a shame but lower the sentence. The average life expectancy is 70 to 80, so it should be 90 years in prison', 'The birth rate of 0.72 includes international marriages, and if you exclude that, it's around 0.6. A man and a woman need to have two children before they die to maintain the population, but even 1 child would be extinct, so 0.6 people ㅋㅋ It seems like it'll just fail', 'The birth rate of 0.72 includes international marriages, and if you exclude that, it's around 0.6. A man and a woman need to have two children before they die to maintain the population, but even 1 child would be extinct, so 0.6 people ㅋㅋ It seems like it'll just fail']",,,,,,,,,,,,,,,,,,,,,
122,323,Chidrearing cost,Expense,122_Money_is_only_money_asset_is_money,"['Money', 'Money only', 'Assets', 'Money', 'When there is a lot', 'Earning', 'Having money', 'Loan business', 'If there is a lot', 'Money making']","['Doesn't that require money?', 'If you have ample assets, either choice is fine. If you don't have ample assets, that won't work either.', 'If you have ample assets, either choice is fine. If you don't have ample assets, that won't work either.']",,,,,,,,,,,,,,,,,,,,,
123,191,,,123_Mask_Uncle_Hahaha_If_you_take_it_off,"['mask', 'uncle', 'hahahaha', 'take it off', 'like that', 'tie it up', 'want', 'me too', 'I think I should', 'catch it']","['It must have been stuffy wearing a mask', 'I'm an uncle like that too', 'I'm an uncle like that too']",,,,,,,,,,,,,,,,,,,,,
